,xco2_biascorrected,xco2_uncertainty
2013-06-01 10:39:15.257,393.6716,0.89023
2013-06-01 10:39:19.864,394.29358,0.8944432
2013-06-01 10:39:24.476,391.94775,0.9455406
2013-06-01 10:39:29.083,393.27548,0.9486518
2013-06-01 10:39:33.696,394.8201,0.9603933
2013-06-01 10:40:05.960,394.34415,0.98116124
2013-06-01 10:40:10.572,392.91635,0.98172534
2013-06-01 10:40:15.179,394.08157,0.996093
2013-06-01 10:40:19.791,394.54034,0.96592087
2013-06-01 10:40:24.398,394.37924,0.97387445
2013-06-01 10:40:29.011,395.81433,0.9812908
2013-06-01 10:40:33.617,393.77527,0.8797867
2013-06-01 10:40:38.229,394.11417,0.8867929
2013-06-01 10:40:42.836,395.02774,0.8895352
2013-06-01 10:40:47.448,393.48978,0.9710475
2013-06-01 10:40:52.055,394.03116,0.9735148
2013-06-01 10:40:56.667,392.51392,0.97398645
2013-06-01 10:41:47.369,395.6885,0.95025367
2013-06-01 10:41:56.588,395.36218,1.0403527
2013-06-01 10:42:05.807,397.44794,0.9961832
2013-06-01 10:42:33.464,396.64087,1.0125989
2013-06-01 10:43:05.734,392.53555,1.0296282
2013-06-01 10:43:10.340,394.21707,1.0520852
2013-06-01 10:43:14.954,394.10016,1.0413419
2013-06-01 11:54:46.328,396.56796,1.2861837
2013-06-01 11:54:50.941,398.1475,1.2444454
2013-06-01 11:54:55.547,395.91034,1.2440803
2013-06-03 10:04:23.259,395.13574,1.0185491
2013-06-03 10:04:27.873,394.06656,1.0326105
2013-06-03 10:04:32.479,393.7039,1.035024
2013-06-03 10:06:41.547,395.71088,0.89854497
2013-06-03 10:06:46.161,394.23123,0.9042409
2013-06-03 10:06:50.766,393.28568,0.90701103
2013-06-03 10:06:55.380,393.76993,1.0755153
2013-06-03 10:06:59.985,394.41196,1.0853431
2013-06-03 10:07:04.599,394.39694,1.0948935
2013-06-03 10:07:09.205,394.27203,0.99130195
2013-06-03 10:07:18.424,393.7304,0.99615103
2013-06-03 10:08:32.177,394.22235,0.9520222
2013-06-03 10:08:36.790,395.1023,0.9641968
2013-06-03 10:08:41.396,396.9619,0.9779799
2013-06-03 10:09:41.324,394.60107,0.9702136
2013-06-03 10:09:45.930,395.42786,0.9705928
2013-06-03 10:09:50.544,394.7239,0.9757792
2013-06-03 11:24:21.749,396.63675,1.2820023
2013-06-03 11:24:26.355,394.43112,1.230884
2013-06-03 11:24:44.793,396.7692,1.277302
2013-06-04 10:26:03.796,397.3125,1.030498
2013-06-04 10:26:08.408,397.97043,1.0058239
2013-06-04 10:26:13.015,398.0781,0.9826376
2013-06-04 10:36:26.088,395.47388,0.9226586
2013-06-04 10:36:30.695,393.98767,0.92907417
2013-06-04 10:36:35.307,394.8445,0.9404204
2013-06-04 10:36:39.913,395.01517,0.9394597
2013-06-04 10:36:44.526,394.46957,0.93464863
2013-06-04 10:36:49.132,394.97604,0.9285015
2013-06-04 10:36:53.745,396.1865,1.0596269
2013-06-04 10:36:58.351,395.16327,1.0504779
2013-06-04 10:37:02.964,395.26816,1.0618832
2013-06-04 10:37:07.570,394.16458,1.0680152
2013-06-04 10:37:21.402,397.2143,1.0578966
2013-06-04 10:37:26.008,397.46582,1.0844531
2013-06-04 10:37:30.621,397.45386,1.1078466
2013-06-04 10:37:35.228,395.7438,0.9103424
2013-06-04 10:37:39.840,396.45114,0.9211982
2013-06-04 10:37:44.447,396.71057,0.920995
2013-06-04 10:38:02.885,396.72366,1.0001998
2013-06-04 10:38:07.497,397.0482,1.0209917
2013-06-04 10:38:12.104,395.6509,1.0287403
2013-06-04 10:38:44.374,395.47,1.0507264
2013-06-04 10:38:48.980,395.48782,1.0727428
2013-06-04 10:38:53.593,395.82626,1.0835338
2013-06-04 10:39:16.637,393.9624,0.883637
2013-06-04 10:39:21.250,394.37454,0.9015406
2013-06-04 10:39:30.470,393.2623,0.96267337
2013-06-04 10:39:35.076,393.0566,0.9604379
2013-06-04 10:40:07.346,393.30548,0.97851646
2013-06-04 10:40:11.952,393.90457,0.98556733
2013-06-04 10:40:16.565,394.62207,0.99647343
2013-06-04 10:40:21.171,394.28516,0.9568437
2013-06-04 10:40:25.784,393.8306,0.9736377
2013-06-04 10:40:30.390,395.75797,0.9825303
2013-06-04 10:40:35.004,394.6244,0.884727
2013-06-04 10:40:39.610,394.78342,0.89060956
2013-06-04 10:40:44.223,395.28522,0.89025027
2013-06-04 10:40:48.829,393.06577,0.9783864
2013-06-04 10:40:53.441,394.41074,0.9882999
2013-06-04 10:40:58.047,393.01376,0.98056555
2013-06-04 10:41:44.143,392.9998,0.9631786
2013-06-04 10:41:48.756,395.63586,0.9775321
2013-06-04 10:41:53.363,394.12128,0.98349524
2013-06-04 10:41:57.975,398.11728,1.12581
2013-06-04 10:42:02.581,396.80707,1.1258426
2013-06-04 10:42:07.194,394.34494,1.1492434
2013-06-04 10:43:07.115,393.10092,1.058888
2013-06-04 10:43:11.728,393.85638,1.0547786
2013-06-04 10:43:16.334,393.1107,1.0684528
2013-06-04 10:43:20.947,393.67834,1.0370195
2013-06-04 10:43:25.552,392.86926,1.0491687
2013-06-04 10:43:30.165,391.1369,1.0606964
2013-06-04 11:55:01.554,396.05997,1.116923
2013-06-04 11:55:06.168,395.68307,1.1004353
2013-06-04 11:55:10.773,397.90063,1.0883417
2013-06-05 10:58:38.819,399.60974,0.863328
2013-06-06 10:04:11.264,393.8285,0.9446211
2013-06-06 10:04:15.871,394.1239,0.94859403
2013-06-06 10:04:20.483,394.86435,0.95489943
2013-06-06 10:06:57.209,394.96756,1.0778309
2013-06-06 10:07:01.816,395.54492,1.0793979
2013-06-06 10:07:06.428,396.06073,1.0999773
2013-06-06 11:23:14.422,394.4894,1.3592399
2013-06-06 11:23:19.034,394.23047,1.3422937
2013-06-06 11:23:23.642,395.43097,1.3499845
2013-06-06 11:25:32.708,399.4495,1.1006037
2013-06-06 11:25:37.320,398.7056,1.0953056
2013-06-06 11:25:41.926,398.49765,1.0856237
2013-06-07 10:25:56.174,393.53912,1.0050138
2013-06-07 10:26:00.785,392.65973,0.9953393
2013-06-07 10:26:05.393,397.462,0.9645334
2013-06-07 10:26:10.004,397.1762,0.9742678
2013-06-07 10:26:14.612,398.11288,0.9645215
2013-06-07 10:27:14.538,400.29675,0.9371423
2013-06-07 10:27:19.147,399.61502,0.9776693
2013-06-07 10:36:09.243,396.56525,0.9857359
2013-06-07 10:36:41.509,394.10123,0.8951619
2013-06-07 10:36:46.119,395.42105,0.9082031
2013-06-07 10:36:50.727,394.326,0.90214264
2013-06-07 10:36:55.339,394.87057,1.0460051
2013-06-07 10:36:59.947,393.48422,1.0499076
2013-06-07 10:37:04.558,393.96585,1.0556688
2013-06-07 10:37:22.996,396.22922,1.0509853
2013-06-07 10:37:27.604,395.09598,1.0603545
2013-06-07 10:37:32.215,394.32382,1.0656885
2013-06-07 10:37:36.823,395.53973,0.90950125
2013-06-07 10:37:41.434,395.73157,0.9093636
2013-06-07 10:37:46.042,395.3987,0.9079628
2013-06-07 10:37:50.653,395.8147,1.022314
2013-06-07 10:37:55.261,393.6794,1.020648
2013-06-07 10:37:59.872,395.01382,1.0340942
2013-06-07 10:38:04.480,396.8807,1.0069327
2013-06-07 10:38:09.092,396.47806,1.0162983
2013-06-07 10:38:13.700,395.7014,1.0222288
2013-06-07 10:38:45.968,395.53665,1.0588511
2013-06-07 10:38:50.576,397.17636,1.0770985
2013-06-07 10:38:55.187,396.4891,1.0803047
2013-06-07 10:38:59.795,394.31848,0.9150301
2013-06-07 10:39:04.406,395.10803,0.93540496
2013-06-07 10:39:09.015,394.14743,0.9404997
2013-06-07 10:39:27.452,393.14383,0.9463682
2013-06-07 10:39:32.063,394.6443,0.9538324
2013-06-07 10:39:36.672,395.92255,0.9662187
2013-06-07 10:40:08.940,394.2617,0.9699476
2013-06-07 10:40:13.547,393.6028,0.97610503
2013-06-07 10:40:18.158,395.04803,0.98988265
2013-06-07 10:40:22.767,394.64807,0.9609308
2013-06-07 10:40:27.378,394.31863,0.96583724
2013-06-07 10:40:31.985,394.45053,0.9831724
2013-06-07 10:40:50.424,393.21002,0.9626757
2013-06-07 10:40:55.034,394.4387,0.97583824
2013-06-07 10:40:59.642,392.03778,0.9814447
2013-06-07 10:41:50.349,394.6296,0.98951244
2013-06-07 10:41:59.568,394.60757,1.0852337
2013-06-07 10:42:08.787,397.0221,1.028809
2013-06-07 10:42:36.444,393.15768,1.0130708
2013-06-07 10:43:08.709,392.68668,1.0431228
2013-06-07 10:43:13.320,393.5507,1.0549442
2013-06-07 10:43:17.929,394.44913,1.0614743
2013-06-07 11:54:49.310,395.69116,1.2891823
2013-06-07 11:54:53.918,396.73108,1.2721126
2013-06-07 11:54:58.528,395.68723,1.2476981
2013-06-07 11:55:03.136,396.2419,1.1037335
2013-06-07 11:55:07.747,396.05997,1.0774084
2013-06-07 11:55:12.355,397.32745,1.0769793
2013-06-07 11:55:30.794,395.98077,1.3171883
2013-06-07 11:55:35.404,394.76666,1.2838584
2013-06-07 11:55:40.012,393.94022,1.2508733
2013-06-08 10:54:26.612,393.7714,1.0374095
2013-06-08 10:54:31.222,393.85526,1.0538378
2013-06-08 10:54:35.831,394.61792,1.0240813
2013-06-09 10:06:44.585,395.24838,0.8954696
2013-06-09 10:06:49.192,396.73862,0.91173065
2013-06-09 10:06:53.804,395.09534,0.9123958
2013-06-09 10:07:12.243,395.60037,0.9789926
2013-06-09 10:07:16.850,395.07962,0.9837437
2013-06-09 10:07:21.461,394.30768,0.99940413
2013-06-09 10:08:21.384,392.9867,1.0017862
2013-06-09 10:08:25.995,393.76602,1.0156276
2013-06-09 10:08:30.603,394.7114,1.0237457
2013-06-09 10:08:35.215,393.63025,0.96049136
2013-06-09 10:08:39.822,394.69366,0.9688088
2013-06-09 10:08:44.433,395.26993,0.98569155
2013-06-09 10:09:44.356,395.76382,0.98754996
2013-06-09 10:09:48.968,394.02554,0.9886379
2013-06-09 10:09:53.575,395.5378,1.0019656
2013-06-10 10:25:52.972,393.58405,1.0081576
2013-06-10 10:25:57.584,393.73627,1.0463095
2013-06-10 10:26:02.190,394.09344,1.0206481
2013-06-10 10:35:33.774,393.2395,1.0771142
2013-06-10 10:35:38.387,394.6169,1.0950662
2013-06-10 10:35:42.993,394.82242,1.0928999
2013-06-10 10:36:29.089,395.16888,0.9305522
2013-06-10 10:36:33.702,393.58215,0.9453447
2013-06-10 10:36:38.307,392.63998,0.94584554
2013-06-10 10:36:42.921,394.9903,0.9461315
2013-06-10 10:36:47.526,395.43515,0.9439213
2013-06-10 10:36:52.140,393.44275,0.9348571
2013-06-10 10:36:56.745,395.68344,1.0752366
2013-06-10 10:37:01.359,394.99042,1.0801615
2013-06-10 10:37:05.965,394.67636,1.0775782
2013-06-10 10:37:10.578,395.29892,1.0902601
2013-06-10 10:37:15.184,394.66107,1.0885562
2013-06-10 10:37:19.798,394.9725,1.114774
2013-06-10 10:37:24.403,394.75842,1.053966
2013-06-10 10:37:33.623,394.2622,1.0859915
2013-06-10 10:37:38.235,395.1174,0.9152759
2013-06-10 10:37:42.842,396.12753,0.91918325
2013-06-10 10:37:47.454,395.64233,0.91795397
2013-06-10 10:37:52.060,392.1649,0.9980293
2013-06-10 10:37:56.674,391.71292,1.0087974
2013-06-10 10:38:01.280,391.8652,1.018379
2013-06-10 10:38:05.894,395.07956,1.0080376
2013-06-10 10:38:10.499,395.3351,1.0063474
2013-06-10 10:38:15.112,395.24185,1.010107
2013-06-10 10:38:47.375,395.7132,1.0548055
2013-06-10 10:38:51.989,395.4256,1.069173
2013-06-10 10:39:01.208,393.76144,0.92965394
2013-06-10 10:39:05.813,393.8113,0.92971396
2013-06-10 10:39:10.427,393.63547,0.9360009
2013-06-10 10:39:15.032,392.93216,0.88581043
2013-06-10 10:39:19.646,393.92123,0.891374
2013-06-10 10:39:24.251,393.73282,0.8905878
2013-06-10 10:39:28.864,393.00867,0.93877476
2013-06-10 10:39:33.470,393.24304,0.95413595
2013-06-10 10:39:38.084,393.89963,0.96373206
2013-06-10 10:40:10.347,394.7096,0.9733454
2013-06-10 10:40:14.960,393.0752,0.9740009
2013-06-10 10:40:19.566,395.2659,0.9910069
2013-06-10 10:43:10.123,393.44495,1.0314634
2013-06-10 10:43:14.729,392.9974,1.0309991
2013-06-10 10:43:19.342,394.43945,1.0514059
2013-06-10 10:43:23.948,393.39246,1.0250288
2013-06-10 10:43:28.561,391.43256,1.039383
2013-06-10 10:43:33.167,391.68958,1.0548143
2013-06-11 10:58:41.805,397.37708,0.83565646
2013-06-11 10:58:46.420,395.942,0.83558834
2013-06-11 10:58:51.024,396.22952,0.8169887
